shipment_id,supplier_id,part_id,origin_country,port,route,planned_arrival,actual_arrival,delay_days,quantity,status
SH274,S010,P050,Thailand,Bangkok,Bangkok-Chennai,2027-04-02,,10,1822,In Transit
SH275,S047,P060,India,Mumbai,Mumbai-Pune,2027-04-04,,3,2107,In Transit
SH276,S010,P050,Thailand,Bangkok,Bangkok-Chennai,2027-04-07,,0,1993,In Transit
SH277,S004,P009,India,Mumbai,Mumbai-Pune,2027-04-06,2027-04-16,10,674,Cancelled
SH278,S021,P024,China,Shanghai,Shanghai-Chennai,2027-04-10,,0,910,In Transit
SH279,S025,P049,India,Mumbai,Mumbai-Pune,2027-04-10,,0,3193,In Transit
SH280,S005,P003,Vietnam,HCMC,HCMC-Chennai,2027-04-12,,7,1740,In Transit
SH281,S004,P027,India,Mumbai,Mumbai-Pune,2027-04-14,,0,2211,In Transit
SH282,S005,P043,Vietnam,HCMC,HCMC-Chennai,2027-04-18,,0,4233,In Transit
SH283,S021,P056,China,Shanghai,Shanghai-Chennai,2027-04-22,,2,2195,In Transit
SH284,S003,P023,South Korea,Busan,Busan-Chennai,2027-04-23,,0,1383,In Transit
SH285,S010,P019,Thailand,Bangkok,Bangkok-Chennai,2027-04-26,,0,4639,In Transit
SH286,S047,P060,India,Mumbai,Mumbai-Pune,2027-04-27,,1,2823,In Transit
SH287,S003,P044,South Korea,Busan,Busan-Chennai,2027-04-27,,13,1636,In Transit
SH288,S020,P053,Singapore,Singapore,Singapore-Chennai,2027-05-01,,0,4747,In Transit
SH289,S005,P010,Vietnam,HCMC,HCMC-Chennai,2027-05-02,,0,1863,In Transit
SH290,S003,P047,South Korea,Busan,Busan-Chennai,2027-05-05,,1,822,In Transit
SH291,S011,P052,Malaysia,Port Klang,Klang-Chennai,2027-05-04,,0,3704,In Transit
SH292,S005,P043,Vietnam,HCMC,HCMC-Chennai,2027-05-06,,10,643,In Transit
SH293,S024,P021,Japan,Nagoya,Nagoya-Chennai,2027-05-08,,0,1673,In Transit
SH294,S035,P032,Sweden,Gothenburg,Gothenburg-Chennai,2027-05-10,,0,967,In Transit
SH295,S035,P057,Sweden,Gothenburg,Gothenburg-Chennai,2027-05-13,,4,2278,In Transit
SH296,S009,P025,Mexico,Veracruz,Veracruz-Mumbai,2027-05-18,,0,2144,In Transit
SH297,S011,P052,Malaysia,Port Klang,Klang-Chennai,2027-05-16,,0,4811,In Transit
SH298,S020,P053,Singapore,Singapore,Singapore-Chennai,2027-05-22,,0,4132,In Transit
SH299,S024,P034,Japan,Nagoya,Nagoya-Chennai,2027-05-20,,0,867,In Transit
SH300,S009,P012,Mexico,Veracruz,Veracruz-Mumbai,2027-05-26,,0,3251,In Transit
