date,commodity,price_index,volatility_score
2026-06-22,Cobalt,141.2,0.68
2026-06-22,Magnesium,111.9,0.31
2026-06-22,Carbon Fibre,127.0,0.22
2026-06-29,Semiconductor Memory,130.6,0.55
2026-06-29,Aluminium,124.7,0.39
2026-06-29,Copper,131.5,0.37
2026-06-29,Lithium,143.0,0.68
2026-06-29,Steel,115.4,0.26
2026-06-29,Nickel,123.7,0.44
2026-06-29,Rare Earth Elements,168.6,0.73
2026-06-29,Silicon,129.7,0.37
2026-06-29,Palladium,113.6,0.32
2026-06-29,Platinum,110.3,0.29
2026-06-29,Cobalt,143.4,0.7
2026-06-29,Magnesium,118.2,0.31
2026-06-29,Carbon Fibre,121.6,0.27
